id	population	compatibility_NorAm_NB
TA_1000_12_M1	North_American	1
TA_1000_15_M2	North_American	1
TA_1001_17_M1	North_American	1
TA_1001_19_M1	North_American	1
TA_1001_1_M2	North_American	1
TA_1001_22_M1	North_American	1
TA_1002_13_M2	Circumboreal_NorAm_E	0
TA_1002_16_M1	Circumboreal_NorAm_E	0
TA_1002_19_M1	Circumboreal_NorAm_E	0
TA_1002_27_M1	Circumboreal_NorAm_E	0
TA_1002_31_M1	Circumboreal_NorAm_E	0
TA_1002_35_M2	North_American	1
TA_1002_7_M2	Circumboreal_NorAm_E	0
TA_1002_8_M1	Circumboreal_NorAm_E	0
TA_1003_17_M1	North_American	1
TA_1003_1_M1	North_American	1
TA_1003_20_M2	North_American	1
TA_1003_22_M2	North_American	1
TA_1004_10_M2	Circumboreal_NorAm_E	0
TA_1004_1_M1	North_American	1
TA_1004_2_M3	North_American	1
TA_1004_3_M1	North_American	1
TA_1004_5_M1	North_American	1
TA_1005_12_M2	North_American	1
TA_1005_13_M1	North_American	1
TA_1005_15_M1	Circumboreal_NorAm_E	0
TA_1005_18_M1	North_American	1
TA_1005_19_M2	North_American	1
TA_1005_1_M1	North_American	1
TA_1005_20_M1	North_American	1
TA_1005_4_M1	North_American	1
TA_1005_6_M2	North_American	1
TA_1005_6_M4	North_American	1
TA_1005_8_M1	North_American	1
TA_1006_10_M1	Circumboreal_NorAm_E	0
TA_1006_11_M1	North_American	1
TA_1006_12_M2	Circumboreal_NorAm_E	0
TA_1006_15_M3	North_American	1
TA_1006_19_M2	Circumboreal_NorAm_E	0
TA_1006_1_M1	Circumboreal_NorAm_E	0
TA_1006_21_M2	North_American	1
TA_1006_2_M3	North_American	1
TA_1007_17_M1	Circumboreal_NorAm_E	0
TA_1007_1_M1	Circumboreal_NorAm_E	0
TA_1007_3_M2	Circumboreal_NorAm_E	0
TA_1007_5_M1	Circumboreal_NorAm_E	0
TA_1007_6_M3	Circumboreal_NorAm_E	0
TA_1008_11_M3	Circumboreal_NorAm_E	0
TA_1008_1_M1	Circumboreal_NorAm_E	0
TA_1008_20_M1	Circumboreal_NorAm_E	0
TA_1008_2_M2	Circumboreal_NorAm_E	0
TA_1008_2_M3	Circumboreal_NorAm_E	0
TA_1008_6_M1	Circumboreal_NorAm_E	0
TA_1008_8_M1	Circumboreal_NorAm_E	0
TA_1009_12_M1	Circumboreal_NorAm_E	0
TA_1009_15_M1	Circumboreal_NorAm_E	0
TA_1009_19_M3	Circumboreal_NorAm_E	0
TA_1009_1_M3	Circumboreal_NorAm_E	0
TA_1009_3_M2	Circumboreal_NorAm_E	0
TA_1009_4_M1	Circumboreal_NorAm_E	0
TA_1009_6_M1	Circumboreal_NorAm_E	0
TA_1009_8_M3	Circumboreal_NorAm_E	0
TA_1009_9_M1	Circumboreal_NorAm_E	0
TA_1010_10_M2	Circumboreal_NorAm_E	0
TA_1010_12_M2	Circumboreal_NorAm_E	0
TA_1010_19_M1	Circumboreal_NorAm_E	0
TA_1010_1_M1	Circumboreal_NorAm_E	0
TA_1010_6_M1	Circumboreal_NorAm_E	0
TA_1011_12_M2	Circumboreal_NorAm_E	0
TA_1011_19_M1	Circumboreal_NorAm_E	0
TA_1011_23_M1	Circumboreal_NorAm_E	0
TA_1011_26_M1	Circumboreal_NorAm_E	0
TA_1011_31_M1	Circumboreal_NorAm_E	0
TA_1012_11_M1	Circumboreal_NorAm_E	0
TA_1012_17_M1	North_American	1
TA_1012_3_M1	Circumboreal_NorAm_E	0
TA_1012_5_M1	Circumboreal_NorAm_E	0
TA_1012_7_M1	Circumboreal_NorAm_E	0
TA_1013_3_M2	Circumboreal_NorAm_E	0
TA_1013_4_M1	Circumboreal_NorAm_E	0
TA_1013_5_M1	Circumboreal_NorAm_E	0
TA_1013_7_M1	Circumboreal_NorAm_E	0
TA_1013_9_M1	Circumboreal_NorAm_E	0
TA_1018_1_M2	North_American	1
TA_1018_4_M2	North_American_2	0
TA_1019_1_M1	North_American	1
TA_1020_1_M1	North_American	1
TA_1020_2_M2	North_American	1
TA_1021_1_M2	North_American	1
TA_1022_1_M1	Circumboreal_NorAm_W	0
TA_1022_2_M2	North_American_2	0
TA_1023_3_M3	Circumboreal_NorAm_W	0
TA_1023_6_M1	Circumboreal_NorAm_W	0
TA_1024_10_M1	Circumboreal_Euro_N	1
TA_1024_10_M2	Circumboreal_Euro_N	1
