Scaffold	Start	End	Mid	Sites	D.Asia_SW.Sichuan_SW.NE	outlier.D.Asia_SW.Sichuan_SW.NE	D.Asia_SW.Sichuan_Sichuan.NE	outlier.D.Asia_SW.Sichuan_Sichuan.NE	D.Asia_SW.N_N.NE	outlier.D.Asia_SW.N_N.NE	D.Asia_SW.N_N.Sichuan	outlier.D.Asia_SW.N_N.Sichuan	D.Noram_NoramE.CircNoramE_CircNoramE.Noram2	outlier.D.Noram_NoramE.CircNoramE_CircNoramE.Noram2	D.AsiaSW.NoramE_AsiaNE.NoramE	outlier.D.AsiaSW.NoramE_AsiaNE.NoramE	D.AsiaSW.NoramE_AsiaN.NoramE	outlier.D.AsiaSW.NoramE_AsiaN.NoramE	D.AsiaSichuan.NoramE_AsiaNE.NoramE	outlier.D.AsiaSichuan.NoramE_AsiaNE.NoramE	D.AsiaSichuan.NoramE_AsiaN.NoramE	outlier.D.AsiaSichuan.NoramE_AsiaN.NoramE	D.AsiaSW.CircNoramE_AsiaNE.CircNoramE	outlier.D.AsiaSW.CircNoramE_AsiaNE.CircNoramE	D.AsiaSW.CircNoramE_AsiaSichuan.CircNoramE	outlier.D.AsiaSW.CircNoramE_AsiaSichuan.CircNoramE	D.AsiaSW.CircNoramW_AsiaNE.CircNoramW	outlier.D.AsiaSW.CircNoramW_AsiaNE.CircNoramW	D.AsiaSW.CircNoramW_AsiaSichuan.CircNoramW	outlier.D.AsiaSW.CircNoramW_AsiaSichuan.CircNoramW	D.AsiaSW.EuroN_AsiaNE.EuroN	outlier.D.AsiaSW.EuroN_AsiaNE.EuroN	D.AsiaSW.EuroN_AsiaSichuan.EuroN	outlier.D.AsiaSW.EuroN_AsiaSichuan.EuroN	D.AsiaSC.Noram_AsiaSC.CircNoram	outlier.D.AsiaSC.Noram_AsiaSC.CircNoram	D.AsiaSW.Noram_AsiaSW.CircNoram	outlier.D.AsiaSW.Noram_AsiaSW.CircNoram	outlier.fst_Noram.CircnoramE
Scaffold01	35001	45000	43154	13	-0.1018	background	-0.0113	background	0.0668	background	-0.0146	background	NA	NA	-0.0486	background	-0.00269999999999999	background	-0.1235	background	-0.0776	background	-0.0383	background	0.0195	background	0.0214	background	0.0122	background	0.0355	outlier	0.0162	background	0.0338	background	0.0892	background	background
Scaffold01	40001	50000	43154	13	-0.1018	background	-0.0113	background	0.0668	background	-0.0146	background	NA	NA	-0.0486	background	-0.00269999999999999	background	-0.1235	background	-0.0776	background	-0.0383	background	0.0195	background	0.0214	background	0.0122	background	0.0355	outlier	0.0162	background	0.0338	background	0.0892	background	background
Scaffold01	60001	70000	68342	71	-0.0074	background	-0.0022	background	0.0243	background	0.0333	background	0.4278	background	-0.0346000000000001	background	-0.00760000000000005	background	-0.0476000000000001	background	-0.0206000000000001	background	-0.0071	background	0.0166	background	-0.000700000000000006	background	0.0251	background	-0.0083	background	0.0175	background	0.7628	outlier	0.7592	outlier	background
Scaffold01	100001	110000	109427	50	-0.0136	background	0.0223	background	0.0509	background	-0.0022	background	0.3385	background	-0.0764	background	-0.011	background	-0.1361	background	-0.0707	background	-0.023	background	0.0123	background	-0.0638	background	0.0102	background	-0.0921	background	-0.001	background	0.4544	outlier	0.5018	background	background
Scaffold01	140001	150000	143454	70	0.0157	background	0.079	background	0.0285	background	-0.000899999999999998	background	-0.0012	background	0.0573	outlier	0.035	background	-0.0159	background	-0.0382	background	0.0074	background	0.0262	background	-0.0366	background	-0.072	background	-0.0088	background	0.034	background	0.0065	background	0.0535	background	background
Scaffold01	155001	165000	156957	10	-0.07	background	-0.0355	background	0.1254	background	-0.1437	background	NA	NA	0.0378	background	-0.0281	background	0.0724	outlier	0.0065	background	0.0263	background	-0.0638	background	-0.0307	background	0.2308	background	0.018	background	-0.0444	background	0.0207	background	0.0499	background	background
Scaffold01	240001	250000	242514	20	-0.0259	background	0.0181	background	0.1128	background	0.0244	background	NA	NA	0.0408	background	0.0702	background	-0.00559999999999999	outlier	0.0238	background	0.0488	outlier	0.0511	background	0.0923	background	0.0777	background	0.0315	background	0.0297	background	0.0129	background	0.0082	background	background
Scaffold01	335001	345000	339420	1179	0.2737	background	-0.1932	background	-0.121	background	-0.0823	background	0.2609	background	-0.158	background	0.1455	background	-0.312	background	-0.00850000000000001	background	-0.1986	background	0.2683	background	-0.2062	background	0.3405	outlier	-0.1953	background	0.2252	background	0.1117	background	-0.00259999999999999	background	background
Scaffold01	465001	475000	469841	1054	0.00349999999999998	background	0.0436	background	0.2275	outlier	0.1673	background	0.3719	background	-0.00439999999999996	background	0.1566	background	-0.2321	background	-0.0711	background	-0.0088	background	0.1548	background	0.0612	background	0.2358	background	0.00309999999999999	background	0.0979	background	0.2896	background	0.3625	background	background
Scaffold01	470001	480000	474999	909	-0.0715	background	0.0482	background	0.3043	outlier	0.1287	background	0.3044	background	0.00579999999999992	background	0.1274	background	-0.2002	background	-0.0786	background	-0.0201	background	0.1232	background	0.0641	background	0.1752	background	-0.0028	background	0.1081	background	0.2914	background	0.3742	background	background
Scaffold01	635001	645000	643865	300	0.095	background	0.0997	background	0.135	background	0.2774	outlier	0.0365	background	0.0127	background	0.1653	background	-0.1761	background	-0.0235	background	0.00120000000000001	background	0.1419	background	0.1036	background	0.3062	background	0.000700000000000006	background	0.0971	background	0.0734	background	0.1203	background	background
Scaffold01	670001	680000	670788	402	-0.1937	background	-0.2183	background	0.2105	outlier	-0.0643	background	0.0428	background	-0.072	background	0.0557	background	-0.1416	background	-0.0139	background	-0.0581	background	0.0625	background	-0.0423	background	0.0279	background	-0.1123	background	0.0458	background	0.1246	background	0.1317	background	background
Scaffold01	675001	685000	683580	315	0.00850000000000001	background	0.0421	background	0.2024	outlier	0.0924	background	0.1509	background	0.0088	background	0.00800000000000001	background	-0.1273	background	-0.1281	background	-0.0111	background	0.1198	background	0.0534	background	0.1214	background	0.00660000000000001	background	0.0665	background	0.0187	background	0.035	background	background
Scaffold01	780001	790000	787693	728	0.2783	background	-0.3505	background	-0.1511	background	-0.2856	background	0.2301	background	-0.2382	background	0.1099	background	-0.3689	background	-0.0208	background	-0.1912	background	0.0779	background	-0.3024	background	0.3469	outlier	-0.2374	background	0.2229	background	0.1147	background	0.1675	background	background
Scaffold01	785001	795000	790571	1458	0.2785	background	-0.3637	background	-0.135	background	-0.3294	background	0.2215	background	-0.2414	background	0.1017	background	-0.3877	background	-0.0446	background	-0.1752	background	0.0588	background	-0.3142	background	0.392	outlier	-0.2577	background	0.2677	background	0.1166	background	0.2041	background	background
Scaffold01	790001	800000	793869	1199	0.2525	background	-0.3617	background	-0.1209	background	-0.3269	background	0.2456	background	-0.233	background	0.0932	background	-0.3804	background	-0.0542	background	-0.1747	background	0.0661	background	-0.3264	background	0.4231	outlier	-0.2773	background	0.3145	outlier	0.1319	background	0.2132	background	background
Scaffold01	805001	815000	806204	39	-0.0413	background	0.0078	background	0.1172	background	0.1204	background	0.2548	background	0.1232	outlier	0.3201	outlier	-0.0436	background	0.1533	outlier	0.0021	background	0.0289	background	0.0718	background	0.136	background	-0.0117	background	0.0614	background	0.3787	background	0.5166	background	background
Scaffold01	955001	965000	960108	1218	-0.1593	background	0.0142	background	-0.0501	background	0.0941	background	0.4173	background	-0.1151	background	0.1264	background	-0.2905	background	-0.049	background	-0.1039	background	0.2003	background	-0.1343	background	0.2053	background	-0.1462	background	0.2704	outlier	0.1995	background	0.1746	background	background
